id,gender,has_car_and_property,income_type,education_type,family_status,housing_type,occupation_type,amount_income_total
5010862,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,450000.0
6723671,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,450000.0
6263705,Female,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,450000.0
6723673,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,450000.0
6108689,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,450000.0
6272544,Male,1,Commercial associate,Higher education,Separated,House / apartment,Core staff,450000.0
6263703,Female,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,450000.0
5010871,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,450000.0
5702128,Male,1,Commercial associate,Higher education,Married,House / apartment,Core staff,450000.0
6263697,Female,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,450000.0
5726402,Male,1,Commercial associate,Higher education,Married,House / apartment,Security staff,432000.0
5726400,Male,1,Commercial associate,Higher education,Married,House / apartment,Security staff,432000.0
5548993,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,405000.0
5235671,Female,1,Commercial associate,Higher education,Civil marriage,House / apartment,Sales staff,405000.0
6008743,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,405000.0
6741658,Female,1,Commercial associate,Higher education,Single / not married,House / apartment,High skill tech staff,405000.0
6296546,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,405000.0
6008748,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,405000.0
5235675,Female,1,Commercial associate,Higher education,Civil marriage,House / apartment,Sales staff,405000.0
6008744,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,405000.0
6296543,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,405000.0
5548994,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,405000.0
5548987,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,405000.0
6540389,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,400500.0
6540386,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,400500.0
6540387,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,400500.0
6778697,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,382500.0
5548354,Male,1,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,382500.0
5416192,Female,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,382500.0
6778691,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,382500.0
5548357,Male,1,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,382500.0
6778693,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,382500.0
5416195,Female,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,382500.0
5548355,Male,1,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,382500.0
6758840,Male,1,Commercial associate,Higher education,Married,House / apartment,Security staff,382500.0
6346399,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,382500.0
5829540,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,382500.0
6346400,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,382500.0
6297619,Male,1,Commercial associate,Higher education,Single / not married,Rented apartment,High skill tech staff,360000.0
6087931,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,360000.0
6591224,Female,1,Commercial associate,Higher education,Separated,House / apartment,Core staff,360000.0
5317879,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,360000.0
6836343,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,360000.0
6087932,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,360000.0
7971758,Female,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,360000.0
6665181,Female,1,Commercial associate,Higher education,Separated,Office apartment,Private service staff,360000.0
5971759,Female,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,360000.0
5971764,Female,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,360000.0
5317881,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,360000.0
6836345,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,360000.0
6586626,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,360000.0
6837641,Female,1,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,360000.0
6367452,Female,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,337500.0
6465230,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,337500.0
6367446,Female,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,337500.0
5788888,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,337500.0
7367453,Female,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,337500.0
7788891,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,337500.0
5761010,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,324000.0
6372883,Male,1,Commercial associate,Higher education,Civil marriage,House / apartment,High skill tech staff,315000.0
5028551,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,315000.0
5822980,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,315000.0
5891304,Female,1,Commercial associate,Higher education,Separated,House / apartment,Cleaning staff,315000.0
5028564,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,315000.0
6428793,Male,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Core staff,315000.0
5791855,Male,1,Commercial associate,Higher education,Married,House / apartment,Core staff,315000.0
6544792,Female,1,Commercial associate,Higher education,Separated,House / apartment,Cleaning staff,315000.0
5028567,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,315000.0
6737170,Female,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Core staff,315000.0
5996538,Female,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Private service staff,315000.0
6544791,Female,1,Commercial associate,Higher education,Separated,House / apartment,Cleaning staff,315000.0
5028563,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,315000.0
5549107,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,315000.0
6372882,Male,1,Commercial associate,Higher education,Civil marriage,House / apartment,High skill tech staff,315000.0
5549110,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,315000.0
5891339,Female,1,Commercial associate,Higher education,Separated,House / apartment,Cleaning staff,315000.0
5929100,Female,1,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,315000.0
6053070,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,315000.0
6372884,Male,1,Commercial associate,Higher education,Civil marriage,House / apartment,High skill tech staff,315000.0
5028558,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,315000.0
6658126,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,315000.0
5791852,Male,1,Commercial associate,Higher education,Married,House / apartment,Core staff,315000.0
5929096,Female,1,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,315000.0
6234850,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,301500.0
6234861,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,301500.0
6234851,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,301500.0
6234860,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,301500.0
6079799,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,292500.0
7536655,Female,1,Commercial associate,Secondary / secondary special,Separated,House / apartment,Sales staff,292500.0
5772290,Female,1,Commercial associate,Higher education,Single / not married,House / apartment,Core staff,292500.0
6240840,Female,1,Commercial associate,Higher education,Married,House / apartment,Private service staff,292500.0
6132915,Male,1,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,292500.0
6079803,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,292500.0
6639517,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,292500.0
5857329,Male,1,Commercial associate,Higher education,Single / not married,House / apartment,Core staff,292500.0
6203142,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,292500.0
5132620,Male,1,Commercial associate,Higher education,Married,House / apartment,Core staff,292500.0
6605125,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Medicine staff,292500.0
5996637,Male,1,Commercial associate,Higher education,Civil marriage,House / apartment,Core staff,292500.0
7090632,Female,1,Commercial associate,Incomplete higher,Married,House / apartment,Sales staff,292500.0
6132914,Male,1,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,292500.0
6480095,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,292500.0
5996635,Male,1,Commercial associate,Higher education,Civil marriage,House / apartment,Core staff,292500.0
7605122,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Medicine staff,292500.0
7079796,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,292500.0
6079801,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,292500.0
5536646,Female,1,Commercial associate,Secondary / secondary special,Separated,House / apartment,Sales staff,292500.0
5536653,Female,1,Commercial associate,Secondary / secondary special,Separated,House / apartment,Sales staff,292500.0
5996636,Male,1,Commercial associate,Higher education,Civil marriage,House / apartment,Core staff,292500.0
6132916,Male,1,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,292500.0
7203143,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,292500.0
5857331,Male,1,Commercial associate,Higher education,Single / not married,House / apartment,Core staff,292500.0
6297503,Female,1,Commercial associate,Incomplete higher,Married,House / apartment,Sales staff,292500.0
5772291,Female,1,Commercial associate,Higher education,Single / not married,House / apartment,Core staff,292500.0
6480096,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,292500.0
5279185,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,288000.0
5279187,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,288000.0
5279189,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,288000.0
6590797,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,270000.0
5788759,Female,1,Commercial associate,Higher education,Married,With parents,Sales staff,270000.0
6146943,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,270000.0
6053719,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,270000.0
6396465,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,270000.0
5125874,Male,1,Commercial associate,Higher education,Separated,House / apartment,High skill tech staff,270000.0
6484924,Female,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,270000.0
6053717,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,270000.0
5971247,Female,1,Commercial associate,Secondary / secondary special,Separated,House / apartment,Private service staff,270000.0
5971245,Female,1,Commercial associate,Secondary / secondary special,Separated,House / apartment,Private service staff,270000.0
6153999,Male,1,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Core staff,270000.0
5029353,Female,1,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,270000.0
5788758,Female,1,Commercial associate,Higher education,Married,With parents,Sales staff,270000.0
6154595,Female,1,Commercial associate,Higher education,Single / not married,House / apartment,Core staff,270000.0
6396463,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,270000.0
6146944,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,270000.0
6428706,Female,1,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,270000.0
6154001,Male,1,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Core staff,270000.0
6396462,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,270000.0
5971253,Female,1,Commercial associate,Secondary / secondary special,Separated,House / apartment,Private service staff,270000.0
6153722,Female,1,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,High skill tech staff,270000.0
5678702,Male,1,Commercial associate,Secondary / secondary special,Separated,House / apartment,Sales staff,270000.0
6630859,Female,1,Commercial associate,Secondary / secondary special,Separated,House / apartment,Private service staff,270000.0
6154000,Male,1,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Core staff,270000.0
6485757,Female,1,Commercial associate,Incomplete higher,Married,House / apartment,Sales staff,270000.0
5971242,Female,1,Commercial associate,Secondary / secondary special,Separated,House / apartment,Private service staff,270000.0
5971248,Female,1,Commercial associate,Secondary / secondary special,Separated,House / apartment,Private service staff,270000.0
5970507,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,270000.0
6053720,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,270000.0
6090897,Male,1,Commercial associate,Higher education,Single / not married,House / apartment,Core staff,270000.0
6590800,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,270000.0
6090885,Male,1,Commercial associate,Higher education,Single / not married,House / apartment,Core staff,270000.0
6590799,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,270000.0
6053721,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,270000.0
5022329,Male,1,Commercial associate,Higher education,Married,House / apartment,Core staff,256500.0
5022330,Male,1,Commercial associate,Higher education,Married,House / apartment,Core staff,256500.0
5853839,Male,1,Commercial associate,Incomplete higher,Married,House / apartment,Core staff,256500.0
5091162,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,256500.0
5091160,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,256500.0
7022334,Male,1,Commercial associate,Higher education,Married,House / apartment,Core staff,256500.0
6690578,Male,1,Commercial associate,Higher education,Married,House / apartment,Security staff,256500.0
6690579,Male,1,Commercial associate,Higher education,Married,House / apartment,Security staff,256500.0
5022334,Male,1,Commercial associate,Higher education,Married,House / apartment,Core staff,256500.0
5091161,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,256500.0
5853853,Male,1,Commercial associate,Incomplete higher,Married,House / apartment,Core staff,256500.0
5853841,Male,1,Commercial associate,Incomplete higher,Married,House / apartment,Core staff,256500.0
5853846,Male,1,Commercial associate,Incomplete higher,Married,House / apartment,Core staff,256500.0
7415880,Female,1,Commercial associate,Higher education,Civil marriage,House / apartment,Core staff,256500.0
5853840,Male,1,Commercial associate,Incomplete higher,Married,House / apartment,Core staff,256500.0
5022325,Male,1,Commercial associate,Higher education,Married,House / apartment,Core staff,256500.0
6415878,Female,1,Commercial associate,Higher education,Civil marriage,House / apartment,Core staff,256500.0
7106721,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,247500.0
6248504,Male,1,Commercial associate,Higher education,Civil marriage,House / apartment,Sales staff,247500.0
6248503,Male,1,Commercial associate,Higher education,Civil marriage,House / apartment,Sales staff,247500.0
6424227,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,247500.0
6391078,Female,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,247500.0
6106727,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,247500.0
6372698,Male,1,Commercial associate,Incomplete higher,Single / not married,House / apartment,High skill tech staff,247500.0
6204797,Female,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,247500.0
5832722,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,247500.0
6078366,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,247500.0
5832723,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,247500.0
6078362,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,247500.0
6106728,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,247500.0
6204796,Female,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,247500.0
6391076,Female,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,247500.0
6507866,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,247500.0
5625889,Male,1,Commercial associate,Higher education,Separated,House / apartment,Core staff,243000.0
5625854,Male,1,Commercial associate,Higher education,Separated,House / apartment,Core staff,243000.0
5625861,Male,1,Commercial associate,Higher education,Separated,House / apartment,Core staff,243000.0
5625853,Male,1,Commercial associate,Higher education,Separated,House / apartment,Core staff,243000.0
5625855,Male,1,Commercial associate,Higher education,Separated,House / apartment,Core staff,243000.0
5625860,Male,1,Commercial associate,Higher education,Separated,House / apartment,Core staff,243000.0
6112185,Female,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,238500.0
6782846,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,225000.0
6575352,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,225000.0
5702259,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,225000.0
6291275,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,225000.0
5823881,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,225000.0
6014207,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Medicine staff,225000.0
5905942,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,225000.0
5166823,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,225000.0
6089303,Female,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,225000.0
5416538,Female,1,Commercial associate,Secondary / secondary special,Separated,House / apartment,Private service staff,225000.0
6498341,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,225000.0
6247289,Male,1,Commercial associate,Higher education,Single / not married,House / apartment,Core staff,225000.0
5169463,Female,1,Commercial associate,Higher education,Civil marriage,House / apartment,Core staff,225000.0
6107577,Female,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,225000.0
5823880,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,225000.0
6782850,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,225000.0
6078242,Female,1,Commercial associate,Incomplete higher,Separated,House / apartment,Sales staff,225000.0
5416543,Female,1,Commercial associate,Secondary / secondary special,Separated,House / apartment,Private service staff,225000.0
6601235,Female,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,225000.0
6498337,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,225000.0
6498340,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,225000.0
6078237,Female,1,Commercial associate,Incomplete higher,Separated,House / apartment,Sales staff,225000.0
6078236,Female,1,Commercial associate,Incomplete higher,Separated,House / apartment,Sales staff,225000.0
5796120,Male,1,Commercial associate,Higher education,Civil marriage,House / apartment,Core staff,225000.0
5772052,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,225000.0
6078240,Female,1,Commercial associate,Incomplete higher,Separated,House / apartment,Sales staff,225000.0
6089304,Female,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,225000.0
6223291,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,225000.0
5823882,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,225000.0
5772051,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,225000.0
6782848,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,225000.0
5867537,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,225000.0
5415620,Female,1,Commercial associate,Higher education,Separated,Municipal apartment,Sales staff,225000.0
5796122,Male,1,Commercial associate,Higher education,Civil marriage,House / apartment,Core staff,225000.0
6601236,Female,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,225000.0
6391189,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,225000.0
5823884,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,225000.0
5415619,Female,1,Commercial associate,Higher education,Separated,Municipal apartment,Sales staff,225000.0
6272246,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,216000.0
5883909,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,216000.0
5883912,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,216000.0
5883910,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,216000.0
5702075,Female,1,Commercial associate,Secondary / secondary special,Separated,House / apartment,Core staff,211500.0
5738632,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,211500.0
5708554,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,211500.0
5702064,Female,1,Commercial associate,Secondary / secondary special,Separated,House / apartment,Core staff,211500.0
5702072,Female,1,Commercial associate,Secondary / secondary special,Separated,House / apartment,Core staff,211500.0
5542497,Male,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,211500.0
6053018,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,211500.0
5702070,Female,1,Commercial associate,Secondary / secondary special,Separated,House / apartment,Core staff,211500.0
6087087,Female,1,Commercial associate,Higher education,Married,With parents,Core staff,202500.0
6133263,Female,1,Commercial associate,Secondary / secondary special,Married,With parents,Core staff,202500.0
5062403,Male,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,High skill tech staff,202500.0
6264737,Female,1,Commercial associate,Secondary / secondary special,Married,With parents,Core staff,202500.0
6724213,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,202500.0
5336420,Male,1,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,202500.0
6842584,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,202500.0
6264738,Female,1,Commercial associate,Secondary / secondary special,Married,With parents,Core staff,202500.0
6724215,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,202500.0
5178386,Female,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Medicine staff,202500.0
6686009,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,202500.0
6277508,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,202500.0
6842586,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,202500.0
6842582,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,202500.0
6686001,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,202500.0
5336419,Male,1,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,202500.0
6686010,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,202500.0
6277509,Male,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,202500.0
5235622,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,202500.0
6233186,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,202500.0
5548889,Male,1,Commercial associate,Higher education,Married,Rented apartment,Sales staff,202500.0
5235617,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,202500.0
6686003,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,202500.0
6007096,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Waiters/barmen staff,202500.0
5727682,Male,1,Commercial associate,Higher education,Civil marriage,House / apartment,Core staff,202500.0
6133261,Female,1,Commercial associate,Secondary / secondary special,Married,With parents,Core staff,202500.0
6264736,Female,1,Commercial associate,Secondary / secondary special,Married,With parents,Core staff,202500.0
6133262,Female,1,Commercial associate,Secondary / secondary special,Married,With parents,Core staff,202500.0
5062404,Male,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,High skill tech staff,202500.0
5235623,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,202500.0
5178385,Female,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Medicine staff,202500.0
6686006,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,202500.0
5336421,Male,1,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,202500.0
6007095,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Waiters/barmen staff,202500.0
5626557,Male,1,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,193500.0
5892583,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,189000.0
5892582,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,189000.0
6498569,Female,1,Commercial associate,Higher education,Civil marriage,House / apartment,Sales staff,189000.0
5892585,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,189000.0
5892590,Male,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,189000.0
6186463,Male,1,Commercial associate,Higher education,Married,House / apartment,Core staff,182250.0
6139996,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,180000.0
6292204,Female,1,Commercial associate,Incomplete higher,Civil marriage,House / apartment,High skill tech staff,180000.0
5627632,Female,1,Commercial associate,Higher education,Single / not married,House / apartment,Core staff,180000.0
6736708,Female,1,Commercial associate,Secondary / secondary special,Single / not married,With parents,Cooking staff,180000.0
5776473,Female,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,180000.0
5021296,Female,1,Commercial associate,Higher education,Married,House / apartment,Core staff,180000.0
6367732,Female,1,Commercial associate,Higher education,Married,House / apartment,HR staff,180000.0
6367727,Female,1,Commercial associate,Higher education,Married,House / apartment,HR staff,180000.0
5949187,Male,1,Commercial associate,Higher education,Civil marriage,House / apartment,Security staff,180000.0
5224247,Male,1,Commercial associate,Higher education,Civil marriage,With parents,Core staff,180000.0
5112615,Male,1,Commercial associate,Higher education,Civil marriage,House / apartment,Core staff,180000.0
6736710,Female,1,Commercial associate,Secondary / secondary special,Single / not married,With parents,Cooking staff,180000.0
